Province,Diagnosed,Death,Healed
Hubei,48206,1310,3441
Guangdong,1241,2,289
Henan,1169,10,262
Zhejiang,1145,,327
Hunan,968,2,314
Anhui,910,5,135
Jiangxi,872,1,170
Jiangsu,570,,131
Chongqing,518,3,102
Shandong,506,2,103
Sichuan,451,1,96
Heilongjiang,395,9,31
Beijing,366,3,68
Shanghai,313,1,57
Fujian,279,,54
Hebei,265,3,56
Shaanxi,229,,44
Guangxi,222,2,33
Hainan,157,4,27
Yunnan,155,,25
Guizhou,135,1,20
Shanxi,126,,33
Liaoning,116,1,21
Tianjin,113,3,11
Gansu,87,2,31
Jilin,84,1,22
Ningxia,64,,24
Xinjiang,63,1,3
Inner Mongolia,61,,6
Hong Kong,50,1,1
Taiwan,18,,1
Qinghai,18,,9
Macao,10,,2
Tibet,1,,1
